Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8
1.498;1.339;1.069;0.144;0.134;1.532;1.417;1.207
1.51;1.326;1.063;0.149;0.141;1.534;1.409;1.206
1.513;1.341;1.075;0.149;0.143;1.534;1.386;1.219
1.491;1.337;1.081;0.155;0.141;1.537;1.39;1.222
1.506;1.346;1.076;0.149;0.136;1.535;1.393;1.223
1.518;1.349;1.074;0.143;0.137;1.53;1.395;1.21
1.506;1.352;1.069;0.144;0.141;1.531;1.398;1.229
1.512;1.35;1.101;0.157;0.146;1.542;1.4;1.233
1.497;1.355;1.1;0.148;0.136;1.533;1.391;1.217
1.515;1.351;1.089;0.148;0.139;1.54;1.408;1.208
1.514;1.351;1.082;0.145;0.141;1.531;1.402;1.231
1.508;1.324;1.107;0.153;0.138;1.524;1.408;1.223
1.493;1.343;1.099;0.154;0.142;1.526;1.407;1.227
1.502;1.355;1.08;0.153;0.138;1.538;1.432;1.228
1.519;1.362;1.104;0.152;0.142;1.543;1.395;1.221
1.496;1.349;1.114;0.152;0.141;1.538;1.416;1.221
1.506;1.361;1.113;0.157;0.141;1.526;1.421;1.227
1.516;1.363;1.089;0.148;0.142;1.532;1.393;1.231
1.504;1.362;1.1;0.15;0.139;1.533;1.415;1.23
1.505;1.358;1.096;0.148;0.144;1.539;1.409;1.235
1.511;1.354;1.116;0.156;0.141;1.545;1.414;1.235
1.505;1.373;1.11;0.152;0.146;1.525;1.418;1.226
1.507;1.374;1.111;0.148;0.144;1.541;1.424;1.233
1.511;1.356;1.111;0.154;0.142;1.528;1.411;1.228
1.52;1.362;1.103;0.153;0.142;1.545;1.425;1.24
1.499;1.374;1.109;0.16;0.139;1.541;1.441;1.224
1.519;1.372;1.112;0.158;0.141;1.549;1.412;1.249
1.514;1.372;1.126;0.159;0.142;1.543;1.427;1.239
1.513;1.364;1.102;0.149;0.14;1.539;1.427;1.241
1.512;1.377;1.122;0.156;0.152;1.541;1.428;1.245
1.518;1.381;1.117;0.157;0.142;1.538;1.428;1.236
1.525;1.377;1.11;0.156;0.143;1.543;1.422;1.235
1.519;1.389;1.115;0.151;0.145;1.548;1.432;1.244
1.511;1.383;1.117;0.158;0.139;1.545;1.431;1.243
1.517;1.374;1.136;0.157;0.142;1.545;1.431;1.244
1.5;1.369;1.121;0.16;0.143;1.538;1.438;1.248
1.526;1.39;1.124;0.153;0.15;1.534;1.434;1.257
1.522;1.38;1.114;0.157;0.142;1.547;1.451;1.249
1.53;1.371;1.13;0.161;0.148;1.546;1.437;1.252
1.514;1.381;1.139;0.152;0.143;1.538;1.438;1.241
1.527;1.384;1.132;0.163;0.141;1.55;1.436;1.262
1.515;1.384;1.124;0.158;0.141;1.552;1.451;1.252
1.516;1.402;1.141;0.163;0.147;1.553;1.434;1.257
1.516;1.377;1.137;0.164;0.147;1.543;1.44;1.261
1.532;1.394;1.153;0.161;0.144;1.554;1.44;1.253
1.525;1.387;1.145;0.164;0.149;1.555;1.444;1.256
1.526;1.39;1.143;0.173;0.145;1.546;1.436;1.249
1.526;1.405;1.131;0.169;0.143;1.562;1.436;1.254
1.518;1.389;1.149;0.172;0.149;1.548;1.432;1.25
1.532;1.399;1.145;0.164;0.145;1.555;1.46;1.274
1.525;1.408;1.143;0.158;0.15;1.548;1.452;1.254
1.535;1.401;1.156;0.161;0.143;1.548;1.454;1.257
1.54;1.411;1.148;0.168;0.146;1.552;1.46;1.267
1.53;1.411;1.169;0.164;0.145;1.557;1.451;1.253
1.528;1.399;1.133;0.163;0.15;1.558;1.443;1.256
1.528;1.4;1.142;0.176;0.145;1.552;1.45;1.265
1.537;1.414;1.15;0.167;0.152;1.559;1.446;1.256
1.524;1.397;1.158;0.174;0.145;1.557;1.459;1.265
1.523;1.397;1.149;0.167;0.142;1.56;1.453;1.267
1.526;1.411;1.17;0.174;0.148;1.557;1.465;1.254
1.539;1.413;1.162;0.173;0.145;1.556;1.455;1.275
1.532;1.416;1.154;0.172;0.152;1.564;1.456;1.267
1.544;1.397;1.163;0.172;0.149;1.557;1.464;1.262
1.531;1.411;1.165;0.173;0.149;1.563;1.469;1.287
1.533;1.415;1.16;0.18;0.144;1.553;1.473;1.265
1.553;1.415;1.165;0.175;0.152;1.558;1.454;1.28
1.537;1.425;1.148;0.175;0.149;1.562;1.472;1.264
1.536;1.409;1.157;0.179;0.152;1.558;1.471;1.263
1.533;1.438;1.151;0.182;0.155;1.552;1.468;1.27
1.541;1.425;1.168;0.173;0.148;1.571;1.474;1.275
1.548;1.415;1.155;0.173;0.142;1.553;1.466;1.277
1.541;1.433;1.166;0.18;0.154;1.558;1.481;1.277
1.543;1.428;1.17;0.178;0.147;1.572;1.459;1.272
